Symbol,Yahoo,Company
TADAWUL:2222	2222.SR
TADAWUL:1150	1150.SR
TADAWUL:7211	7211.SR
TADAWUL:7204	7204.SR
TADAWUL:7203	7203.SR
TADAWUL:7202	7202.SR
TADAWUL:7040	7040.SR
TADAWUL:7010	7010.SR
TADAWUL:6090	6090.SR
TADAWUL:6070	6070.SR
TADAWUL:6040	6040.SR
TADAWUL:6020	6020.SR
TADAWUL:6016	6016.SR
TADAWUL:6014	6014.SR
TADAWUL:6013	6013.SR
TADAWUL:6012	6012.SR
TADAWUL:6010	6010.SR
TADAWUL:6002	6002.SR
TADAWUL:6001	6001.SR
TADAWUL:4324	4324.SR
TADAWUL:4323	4323.SR
TADAWUL:4320	4320.SR
TADAWUL:4310	4310.SR
TADAWUL:4300	4300.SR
TADAWUL:4292	4292.SR
TADAWUL:4290	4290.SR
TADAWUL:4264	4264.SR
TADAWUL:4262	4262.SR
TADAWUL:4261	4261.SR
TADAWUL:4260	4260.SR
TADAWUL:4250	4250.SR
TADAWUL:4230	4230.SR
TADAWUL:4200	4200.SR
TADAWUL:4192	4192.SR
TADAWUL:4191	4191.SR
TADAWUL:4190	4190.SR
TADAWUL:4180	4180.SR
TADAWUL:4170	4170.SR
TADAWUL:4165	4165.SR
TADAWUL:4164	4164.SR
TADAWUL:4163	4163.SR
TADAWUL:4161	4161.SR
TADAWUL:4145	4145.SR
TADAWUL:4144	4144.SR
TADAWUL:4143	4143.SR
TADAWUL:4142	4142.SR
TADAWUL:4140	4140.SR
TADAWUL:4110	4110.SR
TADAWUL:4100	4100.SR
TADAWUL:4083	4083.SR
TADAWUL:4081	4081.SR
TADAWUL:4080	4080.SR
TADAWUL:4071	4071.SR
TADAWUL:4061	4061.SR
TADAWUL:4051	4051.SR
TADAWUL:4050	4050.SR
TADAWUL:4040	4040.SR
TADAWUL:4031	4031.SR
TADAWUL:4030	4030.SR
TADAWUL:4016	4016.SR
TADAWUL:4014	4014.SR
TADAWUL:4013	4013.SR
TADAWUL:4012	4012.SR
TADAWUL:4011	4011.SR
TADAWUL:4008	4008.SR
TADAWUL:4001	4001.SR
TADAWUL:3080	3080.SR
TADAWUL:3030	3030.SR
TADAWUL:3010	3010.SR
TADAWUL:3007	3007.SR
TADAWUL:3005	3005.SR
TADAWUL:3004	3004.SR
TADAWUL:3002	3002.SR
TADAWUL:2381	2381.SR
TADAWUL:2370	2370.SR
TADAWUL:2360	2360.SR
TADAWUL:2350	2350.SR
TADAWUL:2340	2340.SR
TADAWUL:2330	2330.SR
TADAWUL:2320	2320.SR
TADAWUL:2290	2290.SR
TADAWUL:2285	2285.SR
TADAWUL:2282	2282.SR
TADAWUL:2281	2281.SR
TADAWUL:2270	2270.SR
TADAWUL:2250	2250.SR
TADAWUL:2230	2230.SR
TADAWUL:2223	2223.SR
TADAWUL:2220	2220.SR
TADAWUL:2210	2210.SR
TADAWUL:2180	2180.SR
TADAWUL:2170	2170.SR
TADAWUL:2160	2160.SR
TADAWUL:2150	2150.SR
TADAWUL:2130	2130.SR
TADAWUL:2110	2110.SR
TADAWUL:2100	2100.SR
TADAWUL:2090	2090.SR
TADAWUL:2083	2083.SR
TADAWUL:2081	2081.SR
TADAWUL:2040	2040.SR
TADAWUL:2030	2030.SR
TADAWUL:2020	2020.SR
TADAWUL:2001	2001.SR
TADAWUL:1835	1835.SR
TADAWUL:1834	1834.SR
TADAWUL:1832	1832.SR
TADAWUL:1831	1831.SR
TADAWUL:1830	1830.SR
TADAWUL:1820	1820.SR
TADAWUL:1810	1810.SR
TADAWUL:1322	1322.SR
TADAWUL:1303	1303.SR
TADAWUL:1302	1302.SR
TADAWUL:1301	1301.SR
TADAWUL:1214	1214.SR
TADAWUL:1212	1212.SR
TADAWUL:1210	1210.SR
TADAWUL:1182	1182.SR
TADAWUL:3040	3040.SR
TADAWUL:3003	3003.SR
TADAWUL:3020	3020.SR
TADAWUL:3090	3090.SR
TADAWUL:2200	2200.SR
TADAWUL:1321	1321.SR
TADAWUL:7020	7020.SR
TADAWUL:2287	2287.SR
TADAWUL:4150	4150.SR
TADAWUL:2080	2080.SR
TADAWUL:2280	2280.SR
TADAWUL:2286	2286.SR
TADAWUL:4162	4162.SR
TADAWUL:1833	1833.SR
TADAWUL:4291	4291.SR
TADAWUL:4130	4130.SR
TADAWUL:4004	4004.SR
TADAWUL:4322	4322.SR
TADAWUL:2310	2310.SR
TADAWUL:1183	1183.SR
TADAWUL:4321	4321.SR
TADAWUL:2240	2240.SR
TADAWUL:4090	4090.SR
TADAWUL:2120	2120.SR
TADAWUL:4082	4082.SR
TADAWUL:4325	4325.SR
TADAWUL:4193	4193.SR
